,Age,Sex,N,Und,Alc,Smk,HIV,Dia
0,0,m,10081473.84,0.0,0.0,0.0,0.0,0.0
1,0,m,1641170.1600000001,1.0,0.0,0.0,0.0,0.0
2,0,f,9355037.86,0.0,0.0,0.0,0.0,0.0
3,0,f,1522913.1400000001,1.0,0.0,0.0,0.0,0.0
4,1,m,10135551.5,0.0,0.0,0.0,0.0,0.0
5,1,m,1649973.5000000002,1.0,0.0,0.0,0.0,0.0
6,1,f,9375137.78,0.0,0.0,0.0,0.0,0.0
7,1,f,1526185.2200000002,1.0,0.0,0.0,0.0,0.0
8,2,m,10328868.32,0.0,0.0,0.0,0.0,0.0
9,2,m,1681443.6800000002,1.0,0.0,0.0,0.0,0.0
10,2,f,9532049.94,0.0,0.0,0.0,0.0,0.0
11,2,f,1551729.06,1.0,0.0,0.0,0.0,0.0
12,3,m,10455123.2,0.0,0.0,0.0,0.0,0.0
13,3,m,1701996.8,1.0,0.0,0.0,0.0,0.0
14,3,f,9624731.28,0.0,0.0,0.0,0.0,0.0
15,3,f,1566816.7200000002,1.0,0.0,0.0,0.0,0.0
16,4,m,10570750.2,0.0,0.0,0.0,0.0,0.0
17,4,m,1720819.8000000003,1.0,0.0,0.0,0.0,0.0
18,4,f,9705662.44,0.0,0.0,0.0,0.0,0.0
19,4,f,1579991.56,1.0,0.0,0.0,0.0,0.0
20,5,m,10673552.879999999,0.0,0.0,0.0,0.0,0.0
21,5,m,1737555.12,1.0,0.0,0.0,0.0,0.0
22,5,f,9776008.72,0.0,0.0,0.0,0.0,0.0
23,5,f,1591443.2800000003,1.0,0.0,0.0,0.0,0.0
24,6,m,10671467.379999999,0.0,0.0,0.0,0.0,0.0
25,6,m,1737215.62,1.0,0.0,0.0,0.0,0.0
26,6,f,9756291.5,0.0,0.0,0.0,0.0,0.0
27,6,f,1588233.5000000002,1.0,0.0,0.0,0.0,0.0
28,7,m,10835127.1,0.0,0.0,0.0,0.0,0.0
29,7,m,1763857.9000000001,1.0,0.0,0.0,0.0,0.0
30,7,f,9896068.16,0.0,0.0,0.0,0.0,0.0
31,7,f,1610987.84,1.0,0.0,0.0,0.0,0.0
32,8,m,11046135.84,0.0,0.0,0.0,0.0,0.0
33,8,m,1798208.1600000001,1.0,0.0,0.0,0.0,0.0
34,8,f,10074686.72,0.0,0.0,0.0,0.0,0.0
35,8,f,1640065.2800000003,1.0,0.0,0.0,0.0,0.0
36,9,m,11148607.42,0.0,0.0,0.0,0.0,0.0
37,9,m,1814889.58,1.0,0.0,0.0,0.0,0.0
38,9,f,10143711.18,0.0,0.0,0.0,0.0,0.0
39,9,f,1651301.82,1.0,0.0,0.0,0.0,0.0
40,10,m,11241293.06,0.0,0.0,0.0,0.0,0.0
41,10,m,1829977.9400000002,1.0,0.0,0.0,0.0,0.0
42,10,f,10204938.02,0.0,0.0,0.0,0.0,0.0
43,10,f,1661268.9800000002,1.0,0.0,0.0,0.0,0.0
44,11,m,11306608.34,0.0,0.0,0.0,0.0,0.0
45,11,m,1840610.6600000001,1.0,0.0,0.0,0.0,0.0
46,11,f,10257965.62,0.0,0.0,0.0,0.0,0.0
47,11,f,1669901.3800000001,1.0,0.0,0.0,0.0,0.0
48,12,m,11316815.68,0.0,0.0,0.0,0.0,0.0
49,12,m,1842272.32,1.0,0.0,0.0,0.0,0.0
50,12,f,10271715.3,0.0,0.0,0.0,0.0,0.0
51,12,f,1672139.7000000002,1.0,0.0,0.0,0.0,0.0
52,13,m,11302989.459999999,0.0,0.0,0.0,0.0,0.0
53,13,m,1840021.5400000003,1.0,0.0,0.0,0.0,0.0
54,13,f,10261434.86,0.0,0.0,0.0,0.0,0.0
55,13,f,1670466.1400000001,1.0,0.0,0.0,0.0,0.0
56,14,m,11321418.4,0.0,0.0,0.0,0.0,0.0
57,14,m,1843021.6,1.0,0.0,0.0,0.0,0.0
58,14,f,10278330.42,0.0,0.0,0.0,0.0,0.0
59,14,f,1673216.58,1.0,0.0,0.0,0.0,0.0
60,15,f,10084378.909044607,0.0,0.0,0.0,0.0,0.0
61,15,f,66127.20286940396,0.0,1.0,0.0,0.0,0.0
62,16,f,10191307.45051175,0.0,0.0,0.0,0.0,0.0
63,16,f,66828.37499094984,0.0,1.0,0.0,0.0,0.0
64,17,f,10270217.162183844,0.0,0.0,0.0,0.0,0.0
65,17,f,67345.816725257,0.0,1.0,0.0,0.0,0.0
66,50,f,5585323.98086095,0.0,0.0,0.0,0.0,0.0
67,50,f,36625.146209299906,0.0,1.0,0.0,0.0,0.0
68,51,f,5422914.553967075,0.0,0.0,0.0,0.0,0.0
69,51,f,35560.16429846724,0.0,1.0,0.0,0.0,0.0
70,52,f,5282731.202391643,0.0,0.0,0.0,0.0,0.0
71,52,f,34640.92742605783,0.0,1.0,0.0,0.0,0.0
72,53,f,5136713.761826497,0.0,0.0,0.0,0.0,0.0
73,53,f,33683.434158320495,0.0,1.0,0.0,0.0,0.0
74,54,f,4972821.939756745,0.0,0.0,0.0,0.0,0.0
75,54,f,32608.731604559605,0.0,1.0,0.0,0.0,0.0
76,55,f,4816186.730063784,0.0,0.0,0.0,0.0,0.0
77,55,f,31581.613486400816,0.0,1.0,0.0,0.0,0.0
78,56,f,4681546.445112252,0.0,0.0,0.0,0.0,0.0
79,56,f,30698.72466224141,0.0,1.0,0.0,0.0,0.0
80,57,f,4548479.499825912,0.0,0.0,0.0,0.0,0.0
81,57,f,29826.152839472077,0.0,1.0,0.0,0.0,0.0
82,58,f,4402876.614557902,0.0,0.0,0.0,0.0,0.0
83,58,f,28871.377972390015,0.0,1.0,0.0,0.0,0.0
84,59,f,4251820.091413824,0.0,0.0,0.0,0.0,0.0
85,59,f,27880.84147621212,0.0,1.0,0.0,0.0,0.0
86,60,f,4097569.143082469,0.0,0.0,0.0,0.0,0.0
87,60,f,26869.357889061605,0.0,1.0,0.0,0.0,0.0
88,61,f,3939849.420354397,0.0,0.0,0.0,0.0,0.0
89,61,f,25835.12819624521,0.0,1.0,0.0,0.0,0.0
90,62,f,3790915.6931651365,0.0,0.0,0.0,0.0,0.0
91,62,f,24858.51170049775,0.0,1.0,0.0,0.0,0.0
92,63,f,3649703.1531189284,0.0,0.0,0.0,0.0,0.0
93,63,f,23932.526038161697,0.0,1.0,0.0,0.0,0.0
94,64,f,3498217.6751335687,0.0,0.0,0.0,0.0,0.0
95,64,f,22939.17671790539,0.0,1.0,0.0,0.0,0.0
96,65,f,3339547.582492129,0.0,0.0,0.0,0.0,0.0
97,65,f,21898.715079162615,0.0,1.0,0.0,0.0,0.0
98,66,f,3177635.318806522,0.0,0.0,0.0,0.0,0.0
99,66,f,20836.993261254753,0.0,1.0,0.0,0.0,0.0
100,67,f,3005012.825762294,0.0,0.0,0.0,0.0,0.0
101,67,f,19705.04029515588,0.0,1.0,0.0,0.0,0.0
102,68,f,2823471.709799,0.0,0.0,0.0,0.0,0.0
103,68,f,18514.60444256453,0.0,1.0,0.0,0.0,0.0
104,69,f,2639963.1613834715,0.0,0.0,0.0,0.0,0.0
105,69,f,17311.267368581743,0.0,1.0,0.0,0.0,0.0
106,70,f,2458626.6705211424,0.0,0.0,0.0,0.0,0.0
107,70,f,16122.173322529568,0.0,1.0,0.0,0.0,0.0
108,71,f,2281839.6777369194,0.0,0.0,0.0,0.0,0.0
109,71,f,14962.912108531638,0.0,1.0,0.0,0.0,0.0
110,72,f,2029928.7474227468,0.0,0.0,0.0,0.0,0.0
111,72,f,13311.033956773083,0.0,1.0,0.0,0.0,0.0
112,73,f,1799993.0372106514,0.0,0.0,0.0,0.0,0.0
113,73,f,11803.25588801384,0.0,1.0,0.0,0.0,0.0
114,74,f,1658177.9899227154,0.0,0.0,0.0,0.0,0.0
115,74,f,10873.319350868001,0.0,1.0,0.0,0.0,0.0
116,75,f,1518045.4156871527,0.0,0.0,0.0,0.0,0.0
117,75,f,9954.415445266464,0.0,1.0,0.0,0.0,0.0
118,76,f,1385772.718940852,0.0,0.0,0.0,0.0,0.0
119,76,f,9087.051819730656,0.0,1.0,0.0,0.0,0.0
120,77,f,1264505.0632727093,0.0,0.0,0.0,0.0,0.0
121,77,f,8291.852537733026,0.0,1.0,0.0,0.0,0.0
122,78,f,1153348.1612044354,0.0,0.0,0.0,0.0,0.0
123,78,f,7562.95340773201,0.0,1.0,0.0,0.0,0.0
124,79,f,1050342.1589912397,0.0,0.0,0.0,0.0,0.0
125,79,f,6887.502904874657,0.0,1.0,0.0,0.0,0.0
126,80,f,953499.9195415357,0.0,0.0,0.0,0.0,0.0
127,80,f,6252.470596769459,0.0,1.0,0.0,0.0,0.0
128,81,f,862123.443899811,0.0,0.0,0.0,0.0,0.0
129,81,f,5653.279432221683,0.0,1.0,0.0,0.0,0.0
130,82,f,776441.6090308485,0.0,0.0,0.0,0.0,0.0
131,82,f,5091.430246693662,0.0,1.0,0.0,0.0,0.0
132,83,f,688767.331975089,0.0,0.0,0.0,0.0,0.0
133,83,f,4516.515841197192,0.0,1.0,0.0,0.0,0.0
134,84,f,595907.7032867456,0.0,0.0,0.0,0.0,0.0
135,84,f,3907.5990640673476,0.0,1.0,0.0,0.0,0.0
136,85,f,505613.4670678987,0.0,0.0,0.0,0.0,0.0
137,85,f,3315.5045652156327,0.0,1.0,0.0,0.0,0.0
138,86,f,425625.515100954,0.0,0.0,0.0,0.0,0.0
139,86,f,2790.9923890535206,0.0,1.0,0.0,0.0,0.0
140,87,f,355834.71399873,0.0,0.0,0.0,0.0,0.0
141,87,f,2333.3469054267835,0.0,1.0,0.0,0.0,0.0
142,88,f,293622.6203396284,0.0,0.0,0.0,0.0,0.0
143,88,f,1925.3979602878783,0.0,1.0,0.0,0.0,0.0
144,89,f,239009.69663374536,0.0,0.0,0.0,0.0,0.0
145,89,f,1567.2797342907204,0.0,1.0,0.0,0.0,0.0
146,90,f,191677.6371684699,0.0,0.0,0.0,0.0,0.0
147,90,f,1256.904972818822,0.0,1.0,0.0,0.0,0.0
148,91,f,151224.0125785721,0.0,0.0,0.0,0.0,0.0
149,91,f,991.6347896784786,0.0,1.0,0.0,0.0,0.0
150,92,f,117139.53372387425,0.0,0.0,0.0,0.0,0.0
151,92,f,768.1295774833083,0.0,1.0,0.0,0.0,0.0
152,93,f,89019.49762691357,0.0,0.0,0.0,0.0,0.0
153,93,f,583.7355410780607,0.0,1.0,0.0,0.0,0.0
154,94,f,66341.73134485896,0.0,0.0,0.0,0.0,0.0
155,94,f,435.0285889609246,0.0,1.0,0.0,0.0,0.0
156,95,f,48380.95257540361,0.0,0.0,0.0,0.0,0.0
157,95,f,317.2527623986143,0.0,1.0,0.0,0.0,0.0
158,96,f,34424.00494814974,0.0,0.0,0.0,0.0,0.0
159,96,f,225.73161711942515,0.0,1.0,0.0,0.0,0.0
160,97,f,23870.654833602046,0.0,0.0,0.0,0.0,0.0
161,97,f,156.5291872751207,0.0,1.0,0.0,0.0,0.0
162,98,f,16177.508908088685,0.0,0.0,0.0,0.0,0.0
163,98,f,106.08223105612366,0.0,1.0,0.0,0.0,0.0
164,99,f,10733.723351693998,0.0,0.0,0.0,0.0,0.0
165,99,f,70.38520746031479,0.0,1.0,0.0,0.0,0.0
166,100,f,17874.38150460375,0.0,0.0,0.0,0.0,0.0
167,100,f,117.20928602354897,0.0,1.0,0.0,0.0,0.0
168,18,f,9305510.480893234,0.0,0.0,0.0,0.0,0.0
169,18,f,61019.85902389002,0.0,1.0,0.0,0.0,0.0
170,19,f,9329670.40793998,0.0,0.0,0.0,0.0,0.0
171,19,f,61178.28508180988,0.0,1.0,0.0,0.0,0.0
172,20,f,9260581.01621162,0.0,0.0,0.0,0.0,0.0
173,20,f,60725.23901282021,0.0,1.0,0.0,0.0,0.0
174,21,f,9126234.189387223,0.0,0.0,0.0,0.0,0.0
175,21,f,59844.27450797504,0.0,1.0,0.0,0.0,0.0
176,22,f,9033669.148582177,0.0,0.0,0.0,0.0,0.0
177,22,f,59237.2894584109,0.0,1.0,0.0,0.0,0.0
178,23,f,8973589.542810969,0.0,0.0,0.0,0.0,0.0
179,23,f,58843.32406748502,0.0,1.0,0.0,0.0,0.0
180,24,f,8909189.534475213,0.0,0.0,0.0,0.0,0.0
181,24,f,58421.028113076725,0.0,1.0,0.0,0.0,0.0
182,25,f,8851778.234733108,0.0,0.0,0.0,0.0,0.0
183,25,f,58044.559844749645,0.0,1.0,0.0,0.0,0.0
184,26,f,8788666.634862525,0.0,0.0,0.0,0.0,0.0
185,26,f,57630.712486801625,0.0,1.0,0.0,0.0,0.0
186,27,f,8706994.845675869,0.0,0.0,0.0,0.0,0.0
187,27,f,57095.158733718294,0.0,1.0,0.0,0.0,0.0
188,28,f,8639551.501616916,0.0,0.0,0.0,0.0,0.0
189,28,f,56652.90644084012,0.0,1.0,0.0,0.0,0.0
190,29,f,8571529.734743496,0.0,0.0,0.0,0.0,0.0
191,29,f,56206.861204128545,0.0,1.0,0.0,0.0,0.0
192,30,f,8464705.248372318,0.0,0.0,0.0,0.0,0.0
193,30,f,55506.37141240214,0.0,1.0,0.0,0.0,0.0
194,31,f,8380331.884393369,0.0,0.0,0.0,0.0,0.0
195,31,f,54953.10238047338,0.0,1.0,0.0,0.0,0.0
196,32,f,8307829.420005507,0.0,0.0,0.0,0.0,0.0
197,32,f,54477.67546381836,0.0,1.0,0.0,0.0,0.0
198,33,f,8196482.650165901,0.0,0.0,0.0,0.0,0.0
199,33,f,53747.53129684021,0.0,1.0,0.0,0.0,0.0
200,34,f,8110191.79565428,0.0,0.0,0.0,0.0,0.0
201,34,f,53181.68853215131,0.0,1.0,0.0,0.0,0.0
202,35,f,7975467.670811037,0.0,0.0,0.0,0.0,0.0
203,35,f,52298.249937145556,0.0,1.0,0.0,0.0,0.0
204,36,f,7798433.9963870095,0.0,0.0,0.0,0.0,0.0
205,36,f,51137.37113549185,0.0,1.0,0.0,0.0,0.0
206,37,f,7633060.267351141,0.0,0.0,0.0,0.0,0.0
207,37,f,50052.9511401844,0.0,1.0,0.0,0.0,0.0
208,38,f,7446879.951375948,0.0,0.0,0.0,0.0,0.0
209,38,f,48832.09424499781,0.0,1.0,0.0,0.0,0.0
210,39,f,7281373.147287339,0.0,0.0,0.0,0.0,0.0
211,39,f,47746.80162470385,0.0,1.0,0.0,0.0,0.0
212,40,f,7105903.104733018,0.0,0.0,0.0,0.0,0.0
213,40,f,46596.17616664162,0.0,1.0,0.0,0.0,0.0
214,41,f,6900578.8838695,0.0,0.0,0.0,0.0,0.0
215,41,f,45249.785225810694,0.0,1.0,0.0,0.0,0.0
216,42,f,6694996.073983044,0.0,0.0,0.0,0.0,0.0
217,42,f,43901.698615971894,0.0,1.0,0.0,0.0,0.0
218,43,f,6534183.189936566,0.0,0.0,0.0,0.0,0.0
219,43,f,42847.18585883841,0.0,1.0,0.0,0.0,0.0
220,44,f,6432959.953512568,0.0,0.0,0.0,0.0,0.0
221,44,f,42183.42564608957,0.0,1.0,0.0,0.0,0.0
222,45,f,6313295.236768408,0.0,0.0,0.0,0.0,0.0
223,45,f,41398.73745935815,0.0,1.0,0.0,0.0,0.0
224,46,f,6185577.96711692,0.0,0.0,0.0,0.0,0.0
225,46,f,40561.24554474995,0.0,1.0,0.0,0.0,0.0
226,47,f,6062228.73485,0.0,0.0,0.0,0.0,0.0
227,47,f,39752.39655370458,0.0,1.0,0.0,0.0,0.0
228,48,f,5899890.780454781,0.0,0.0,0.0,0.0,0.0
229,48,f,38687.883315901854,0.0,1.0,0.0,0.0,0.0
230,49,f,5736931.305074604,0.0,0.0,0.0,0.0,0.0
231,49,f,37619.294522764416,0.0,1.0,0.0,0.0,0.0
232,15,f,168263.49208598756,0.0,0.0,1.0,0.0,0.0
233,16,f,170047.6544972974,0.0,0.0,1.0,0.0,0.0
234,17,f,171364.307090898,0.0,0.0,1.0,0.0,0.0
235,15,f,24053.07600000001,0.0,0.0,0.0,1.0,0.0
236,16,f,24308.120000000006,0.0,0.0,0.0,1.0,0.0
237,17,f,24496.334000000006,0.0,0.0,0.0,1.0,0.0
238,15,f,1683715.32,1.0,0.0,0.0,0.0,0.0
239,16,f,1701568.4000000001,1.0,0.0,0.0,0.0,0.0
240,17,f,1714743.3800000001,1.0,0.0,0.0,0.0,0.0
241,50,f,612691.9962534854,0.0,0.0,0.0,0.0,1.0
242,51,f,594876.2068176407,0.0,0.0,0.0,0.0,1.0
243,52,f,579498.5460386832,0.0,0.0,0.0,0.0,1.0
244,53,f,563480.9045456836,0.0,0.0,0.0,0.0,1.0
245,54,f,545502.5011482036,0.0,0.0,0.0,0.0,1.0
246,55,f,528320.1246845968,0.0,0.0,0.0,0.0,1.0
247,56,f,513550.5204063547,0.0,0.0,0.0,0.0,1.0
248,57,f,498953.5064064124,0.0,0.0,0.0,0.0,1.0
249,58,f,482981.34029020934,0.0,0.0,0.0,0.0,1.0
250,59,f,466410.9277180114,0.0,0.0,0.0,0.0,1.0
251,60,f,449490.09702296497,0.0,0.0,0.0,0.0,1.0
252,61,f,432188.75298313133,0.0,0.0,0.0,0.0,1.0
253,62,f,415851.20426908263,0.0,0.0,0.0,0.0,1.0
254,63,f,400360.6448398694,0.0,0.0,0.0,0.0,1.0
255,64,f,383743.1773074029,0.0,0.0,0.0,0.0,1.0
256,65,f,366337.5807584228,0.0,0.0,0.0,0.0,1.0
257,66,f,348576.32852034515,0.0,0.0,0.0,0.0,1.0
258,67,f,329640.19872305123,0.0,0.0,0.0,0.0,1.0
259,68,f,309725.72480483627,0.0,0.0,0.0,0.0,1.0
260,69,f,289595.4299027743,0.0,0.0,0.0,0.0,1.0
261,70,f,269703.40269705496,0.0,0.0,0.0,0.0,1.0
262,71,f,250310.4407324887,0.0,0.0,0.0,0.0,1.0
263,72,f,222676.62552299543,0.0,0.0,0.0,0.0,1.0
264,73,f,197453.42096358942,0.0,0.0,0.0,0.0,1.0
265,74,f,181896.76843647237,0.0,0.0,0.0,0.0,1.0
266,75,f,166524.6777676528,0.0,0.0,0.0,0.0,1.0
267,76,f,152014.79026658245,0.0,0.0,0.0,0.0,1.0
268,77,f,138712.1202179165,0.0,0.0,0.0,0.0,1.0
269,78,f,126518.56717445172,0.0,0.0,0.0,0.0,1.0
270,79,f,115219.14151206329,0.0,0.0,0.0,0.0,1.0
271,80,f,104595.86071162685,0.0,0.0,0.0,0.0,1.0
272,81,f,94572.15654274062,0.0,0.0,0.0,0.0,1.0
273,82,f,85173.1360690108,0.0,0.0,0.0,0.0,1.0
274,83,f,75555.55112435122,0.0,0.0,0.0,0.0,1.0
275,84,f,65369.1498578577,0.0,0.0,0.0,0.0,1.0
276,85,f,55464.16385728172,0.0,0.0,0.0,0.0,1.0
277,86,f,46689.743942736146,0.0,0.0,0.0,0.0,1.0
278,87,f,39033.918534223274,0.0,0.0,0.0,0.0,1.0
279,88,f,32209.45284777114,0.0,0.0,0.0,0.0,1.0
280,89,f,26218.5915546293,0.0,0.0,0.0,0.0,1.0
281,90,f,21026.417546471206,0.0,0.0,0.0,0.0,1.0
282,91,f,16588.785622055428,0.0,0.0,0.0,0.0,1.0
283,92,f,12849.828408059495,0.0,0.0,0.0,0.0,1.0
284,93,f,9765.151295325355,0.0,0.0,0.0,0.0,1.0
285,94,f,7277.4735990030285,0.0,0.0,0.0,0.0,1.0
286,95,f,5307.2341936913,0.0,0.0,0.0,0.0,1.0
287,96,f,3776.2021295442564,0.0,0.0,0.0,0.0,1.0
288,97,f,2618.533716574687,0.0,0.0,0.0,0.0,1.0
289,98,f,1774.6204627108382,0.0,0.0,0.0,0.0,1.0
290,99,f,1177.4547743546145,0.0,0.0,0.0,0.0,1.0
291,100,f,1960.7619044802357,0.0,0.0,0.0,0.0,1.0
292,18,f,1020784.4365399485,0.0,0.0,0.0,0.0,1.0
293,19,f,1023434.7024837565,0.0,0.0,0.0,0.0,1.0
294,20,f,1015855.8194175204,0.0,0.0,0.0,0.0,1.0
295,21,f,1001118.406547753,0.0,0.0,0.0,0.0,1.0
296,22,f,990964.3206203352,0.0,0.0,0.0,0.0,1.0
297,23,f,984373.781965779,0.0,0.0,0.0,0.0,1.0
298,24,f,977309.3091077707,0.0,0.0,0.0,0.0,1.0
299,25,f,971011.4750041391,0.0,0.0,0.0,0.0,1.0
300,26,f,964088.3363923125,0.0,0.0,0.0,0.0,1.0
301,27,f,955129.2049747196,0.0,0.0,0.0,0.0,1.0
302,28,f,947730.8880199492,0.0,0.0,0.0,0.0,1.0
303,29,f,940269.1199511358,0.0,0.0,0.0,0.0,1.0
304,30,f,928550.8189129531,0.0,0.0,0.0,0.0,1.0
305,31,f,919295.3334685947,0.0,0.0,0.0,0.0,1.0
306,32,f,911342.0473581892,0.0,0.0,0.0,0.0,1.0
307,33,f,899127.666433613,0.0,0.0,0.0,0.0,1.0
308,34,f,889661.8384726369,0.0,0.0,0.0,0.0,1.0
309,35,f,874883.0372291347,0.0,0.0,0.0,0.0,1.0
310,36,f,855463.0150856336,0.0,0.0,0.0,0.0,1.0
311,37,f,837322.0512815518,0.0,0.0,0.0,0.0,1.0
312,38,f,816898.6721098458,0.0,0.0,0.0,0.0,1.0
313,39,f,798743.1104024025,0.0,0.0,0.0,0.0,1.0
314,40,f,779494.6136233993,0.0,0.0,0.0,0.0,1.0
315,41,f,756971.2099334545,0.0,0.0,0.0,0.0,1.0
316,42,f,734419.4398631143,0.0,0.0,0.0,0.0,1.0
317,43,f,716778.7860196951,0.0,0.0,0.0,0.0,1.0
318,44,f,705674.9240048189,0.0,0.0,0.0,0.0,1.0
319,45,f,692548.0911775162,0.0,0.0,0.0,0.0,1.0
320,46,f,678537.9193115768,0.0,0.0,0.0,0.0,1.0
321,47,f,665006.9070349523,0.0,0.0,0.0,0.0,1.0
322,48,f,647198.9579013047,0.0,0.0,0.0,0.0,1.0
323,49,f,629322.8299235486,0.0,0.0,0.0,0.0,1.0
324,50,f,103350.75667626405,0.0,0.0,1.0,0.0,0.0
325,51,f,100345.53491681776,0.0,0.0,1.0,0.0,0.0
326,52,f,97751.58414361617,0.0,0.0,1.0,0.0,0.0
327,53,f,95049.67946950036,0.0,0.0,1.0,0.0,0.0
328,54,f,92017.02749049208,0.0,0.0,1.0,0.0,0.0
329,55,f,89118.65176521902,0.0,0.0,1.0,0.0,0.0
